initial_date,final_date,initial_time,final_time,sample_location,bottle_id,replicate,depth,depth_m,treatment,initial_do_mg_l,final_do_mg_l,do_difference_mg_l,notes
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,22,a,bottom,3.7,dark,4.07,3.85,-0.22,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,9,b,surface,0.3,light,7.88,8.26,0.38,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,13,b,surface,0.3,dark,7.94,7.59,-0.35,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,16,b,middle,1.85,light,7.32,7.98,0.66,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,57,b,middle,1.85,dark,6.48,6.3,-0.18,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,43,b,bottom,3.7,light,4.02,4.13,0.11,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,321,b,bottom,3.7,dark,3.98,3.81,-0.17,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,24,c,surface,0.3,light,7.85,8.34,0.49,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,28,c,surface,0.3,dark,7.86,7.66,-0.2,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,1,c,middle,1.85,light,7.34,7.83,0.49,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,54,c,middle,1.85,dark,6.62,6.3,-0.32,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,32,c,bottom,3.7,light,4,4.18,0.18,
2022-08-10,2022-08-10,10:30,14:30,SMCM_dock,312,c,bottom,3.7,dark,3.94,3.75,-0.19,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,44,a,surface,0.3,light,6.12,7.06,0.94,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,324,a,surface,0.3,dark,6.13,5.95,-0.18,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,6,a,middle,1.55,light,5.68,6.1,0.42,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,47,a,middle,1.55,dark,5.68,5.55,-0.13,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,43,a,bottom,3.1,light,4.87,5.15,0.28,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,321,a,bottom,3.1,dark,3,2.5,-0.5,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,24,b,surface,0.3,light,6.07,7.07,1,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,28,b,surface,0.3,dark,6.22,6.02,-0.2,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,1,b,middle,1.55,light,5.69,6.28,0.59,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,54,b,middle,1.55,dark,5.52,5.41,-0.11,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,8,b,bottom,3.1,light,2.54,2.43,-0.11,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,22,b,bottom,3.1,dark,3.2,2.68,-0.52,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,9,c,surface,0.3,light,6.07,7.07,1,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,13,c,surface,0.3,dark,6.12,5.95,-0.17,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,16,c,middle,1.55,light,5.6,6.1,0.5,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,57,c,middle,1.55,dark,5.6,5.46,-0.14,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,32,c,bottom,3.1,light,2.43,2.44,0.01,
2022-08-16,2022-08-16,11:00,15:00,SMCM_dock,312,c,bottom,3.1,dark,3.45,3.04,-0.41,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,43,a,surface,0.3,light,7.02,7.6,0.58,bubbles
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,321,a,surface,0.3,dark,7.03,6.84,-0.19,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,32,a,middle,1.75,light,6.9,7.11,0.21,bubbles
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,312,a,middle,1.75,dark,6.88,6.63,-0.25,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,8,a,bottom,3.5,light,2.11,1.97,-0.14,bubbles
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,22,a,bottom,3.5,dark,2.11,2.09,-0.02,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,9,b,surface,0.3,light,7.1,7.67,0.57,bubbles
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,324,b,surface,0.3,dark,7.05,6.86,-0.19,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,6,b,middle,1.75,light,7.05,7.23,0.18,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,47,b,middle,1.75,dark,6.94,6.59,-0.35,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,1,b,bottom,3.5,light,1.61,1.73,0.12,bubbles
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,54,b,bottom,3.5,dark,2.54,2.07,-0.47,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,24,c,surface,0.3,light,7.11,7.73,0.62,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,28,c,surface,0.3,dark,6.94,6.87,-0.07,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,44,c,middle,1.75,light,6.83,7.13,0.3,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,13,c,middle,1.75,dark,6.92,6.67,-0.25,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,16,c,bottom,3.5,light,1.68,1.53,-0.15,
2022-09-09,2022-09-09,15:12,19:14,SMCM_dock,57,c,bottom,3.5,dark,2.15,2.31,0.16,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,32,a,surface,0.4,light,7.43,8.4,0.97,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,54,a,surface,0.4,dark,7.44,7.46,0.02,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,24,a,middle,1.5,light,7.35,7.69,0.34,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,28,a,middle,1.5,dark,7.29,7.14,-0.15,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,43,a,bottom,3.1,light,6.43,6.5,0.07,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,312,a,bottom,3.1,dark,6.2,6.4,0.2,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,9,b,surface,0.4,light,7.45,8.56,1.11,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,13,b,surface,0.4,dark,7.43,7.22,-0.21,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,1,b,middle,1.5,light,7.33,7.64,0.31,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,57,b,middle,1.5,dark,7.26,7.24,-0.02,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,44,b,bottom,3.1,light,6.31,6.58,0.27,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,22,b,bottom,3.1,dark,5.86,5.83,-0.03,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,8,c,surface,0.4,light,7.48,8.61,1.13,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,47,c,surface,0.4,dark,7.52,7.26,-0.26,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,16,c,middle,1.5,light,7.23,7.59,0.36,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,321,c,middle,1.5,dark,7.26,7.17,-0.09,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,6,c,bottom,3.1,light,6.05,6.27,0.22,
2022-09-16,2022-09-16,13:17,17:15,SMCM_dock,324,c,bottom,3.1,dark,6.04,5.96,-0.08,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,7,a,surface,0.3,light,9.66,9.98,0.32,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,57,a,surface,0.3,dark,9.61,9.41,-0.2,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,24,a,middle,2.0,light,7.87,8.76,0.89,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,13,a,middle,2.0,dark,8.28,8.24,-0.04,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,2,a,bottom,4.0,light,8.86,9.06,0.2,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,55,a,bottom,4.0,dark,8.8,8.91,0.11,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,10,b,surface,0.3,light,9.63,9.89,0.26,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,54,b,surface,0.3,dark,9.67,9.59,-0.08,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,16,b,middle,2.0,light,8.28,8.65,0.37,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,22,b,middle,2.0,dark,8.26,8.42,0.16,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,8,b,bottom,4.0,light,8.62,9.2,0.58,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,59,b,bottom,4.0,dark,8.63,9.02,0.39,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,1,c,surface,0.3,light,9.47,10.19,0.72,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,28,c,surface,0.3,dark,9.45,9.48,0.03,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,17,c,middle,2.0,light,8.5,8.99,0.49,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,56,c,middle,2.0,dark,8.59,8.56,-0.03,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,15,c,bottom,4.0,light,8.88,9.14,0.26,
2022-10-06,2022-10-06,12:22,18:45,SMCM_dock,58,c,bottom,4.0,dark,8.9,8.93,0.03,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,1,a,surface,0.3,light,8.4,8.65,0.25,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,28,a,surface,0.3,dark,8.46,8.41,-0.05,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,17,a,middle,1.75,light,9.0,9.37,0.4,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,54,a,middle,1.75,dark,9.09,9.02,-0.07,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,10,a,bottom,3.5,light,8.45,8.66,0.21,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,59,a,bottom,3.5,dark,9.0,8.45,-0.6,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,7,b,surface,0.3,light,8.43,8.71,0.28,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,57,b,surface,0.3,dark,8.46,8.42,-0.04,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,8,b,middle,1.75,light,9.07,9.37,0.3,
2022-10-14,2022-10-14,13:35,17:30,SMCM_dock,56,b,middle,1.75,dark,9.01,8.95,-0.06,
